Age,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,YearsAtCompany,EmployeeCount,Over18,StandardHours,EmployeeNumber,StockOptionLevel,Attrition
35,Travel_Rarely,Research & Development,23,4,3,Female,1,Laboratory Technician,1,Married,4014,3,Yes,2,1,Y,80,75,1,No
31,Travel_Rarely,Research & Development,7,4,4,Male,2,Laboratory Technician,4,Divorced,5915,3,No,7,1,Y,80,76,1,No
37,Travel_Rarely,Research & Development,1,4,1,Male,2,Manufacturing Director,3,Divorced,5993,1,No,7,1,Y,80,77,1,No
32,Travel_Rarely,Research & Development,1,3,1,Male,2,Manufacturing Director,4,Married,6162,1,Yes,9,1,Y,80,78,1,No
38,Travel_Frequently,Research & Development,29,5,4,Female,2,Laboratory Technician,4,Single,2406,1,No,10,1,Y,80,79,0,No
50,Travel_Rarely,Research & Development,7,2,2,Female,5,Research Director,3,Divorced,18740,5,Yes,27,1,Y,80,80,1,No
59,Travel_Rarely,Sales,25,3,1,Female,3,Sales Executive,1,Single,7637,7,No,21,1,Y,80,81,0,No
36,Travel_Rarely,Research & Development,8,3,3,Female,3,Healthcare Representative,3,Divorced,10096,1,No,17,1,Y,80,83,3,No
55,Travel_Rarely,Research & Development,8,3,4,Female,4,Manager,3,Divorced,14756,2,Yes,5,1,Y,80,84,3,No
36,Travel_Frequently,Research & Development,11,3,2,Male,2,Manufacturing Director,2,Single,6499,1,No,6,1,Y,80,85,0,No
45,Travel_Rarely,Research & Development,7,3,2,Male,3,Research Scientist,1,Divorced,9724,2,No,1,1,Y,80,86,1,No
35,Travel_Frequently,Research & Development,1,3,2,Male,1,Research Scientist,1,Married,2194,4,No,3,1,Y,80,88,1,No
36,Travel_Rarely,Research & Development,9,3,4,Male,1,Research Scientist,3,Married,3388,0,Yes,1,1,Y,80,90,1,Yes
59,Travel_Frequently,Sales,1,1,1,Female,2,Sales Executive,3,Single,5473,7,No,4,1,Y,80,91,0,No
29,Travel_Rarely,Research & Development,2,3,3,Male,1,Research Scientist,2,Married,2703,0,No,5,1,Y,80,94,1,No
31,Travel_Rarely,Research & Development,1,4,3,Male,1,Research Scientist,2,Single,2501,1,No,1,1,Y,80,95,0,No
32,Travel_Rarely,Research & Development,1,3,2,Male,2,Research Scientist,2,Married,6220,1,No,10,1,Y,80,96,2,No
36,Travel_Rarely,Research & Development,6,3,2,Female,1,Laboratory Technician,4,Married,3038,3,No,1,1,Y,80,97,0,No
31,Travel_Rarely,Research & Development,8,4,3,Female,2,Manufacturing Director,4,Single,4424,1,No,11,1,Y,80,98,0,No
35,Travel_Rarely,Sales,1,4,3,Male,2,Sales Executive,1,Single,4312,0,No,15,1,Y,80,100,0,No
45,Travel_Rarely,Research & Development,6,4,4,Male,3,Research Director,1,Married,13245,4,Yes,0,1,Y,80,101,0,No
37,Travel_Rarely,Research & Development,7,4,1,Male,3,Research Director,3,Single,13664,4,No,5,1,Y,80,102,0,No
46,Travel_Rarely,Human Resources,5,2,2,Male,2,Human Resources,2,Divorced,5021,8,Yes,4,1,Y,80,103,1,No
30,Travel_Rarely,Research & Development,1,1,4,Male,2,Laboratory Technician,4,Married,5126,1,Yes,10,1,Y,80,104,2,No
35,Travel_Rarely,Research & Development,1,3,2,Male,1,Research Scientist,3,Single,2859,1,No,6,1,Y,80,105,0,No
55,Travel_Rarely,Sales,1,2,1,Male,3,Sales Executive,4,Married,10239,3,No,1,1,Y,80,106,1,No
38,Non-Travel,Research & Development,6,3,2,Female,2,Research Scientist,4,Divorced,5329,7,Yes,13,1,Y,80,107,3,No
34,Travel_Rarely,Research & Development,1,2,1,Male,2,Manufacturing Director,2,Married,4325,1,No,5,1,Y,80,110,0,No
56,Travel_Rarely,Research & Development,7,3,4,Male,3,Manufacturing Director,4,Single,7260,4,No,6,1,Y,80,112,0,No
23,Travel_Rarely,Sales,2,1,3,Male,1,Sales Representative,1,Divorced,2322,3,No,0,1,Y,80,113,1,No
51,Travel_Rarely,Research & Development,9,4,4,Male,1,Laboratory Technician,4,Married,2075,3,No,4,1,Y,80,116,2,No
30,Travel_Rarely,Research & Development,2,3,3,Male,2,Healthcare Representative,4,Married,4152,1,No,11,1,Y,80,117,3,No
46,Travel_Rarely,Sales,9,2,3,Male,3,Sales Executive,4,Single,9619,1,No,9,1,Y,80,118,0,Yes
40,Travel_Frequently,Research & Development,1,4,3,Male,4,Healthcare Representative,2,Married,13503,1,No,22,1,Y,80,119,1,No
51,Travel_Rarely,Sales,21,4,3,Male,2,Sales Executive,4,Single,5441,0,Yes,10,1,Y,80,120,0,No
30,Travel_Rarely,Sales,4,2,3,Female,2,Sales Executive,2,Divorced,5209,1,Yes,11,1,Y,80,121,3,No
46,Travel_Frequently,Research & Development,1,3,3,Male,3,Healthcare Representative,1,Married,10673,2,Yes,10,1,Y,80,124,1,No
32,Travel_Rarely,Sales,6,4,2,Male,2,Sales Executive,3,Single,5010,1,No,11,1,Y,80,125,0,No
54,Travel_Rarely,Research & Development,2,4,1,Female,3,Research Director,3,Married,13549,9,No,4,1,Y,80,126,1,No
24,Travel_Rarely,Sales,3,2,1,Female,2,Sales Executive,3,Married,4999,0,No,3,1,Y,80,128,1,No
28,Non-Travel,Sales,4,3,2,Male,2,Sales Executive,3,Married,4221,1,No,5,1,Y,80,129,0,No
58,Travel_Rarely,Sales,10,4,4,Male,4,Sales Executive,3,Single,13872,0,No,37,1,Y,80,131,0,No
44,Non-Travel,Research & Development,23,3,2,Male,2,Laboratory Technician,2,Married,2042,4,No,3,1,Y,80,132,1,No
37,Travel_Rarely,Human Resources,6,4,3,Male,1,Human Resources,1,Divorced,2073,4,Yes,3,1,Y,80,133,0,Yes
32,Travel_Rarely,Research & Development,1,1,4,Male,1,Research Scientist,1,Single,2956,1,No,1,1,Y,80,134,0,No
20,Travel_Frequently,Research & Development,6,3,4,Female,1,Laboratory Technician,4,Single,2926,1,Yes,1,1,Y,80,137,0,Yes
34,Travel_Rarely,Research & Development,6,4,1,Female,2,Research Scientist,3,Single,4809,1,No,16,1,Y,80,138,0,No
37,Non-Travel,Research & Development,2,2,3,Male,2,Healthcare Representative,4,Divorced,5163,5,No,1,1,Y,80,139,1,No
59,Non-Travel,Human Resources,2,4,3,Female,5,Manager,4,Married,18844,9,No,3,1,Y,80,140,1,No
50,Travel_Frequently,Research & Development,1,3,1,Female,5,Research Director,2,Married,18172,3,Yes,8,1,Y,80,141,0,No
25,Travel_Rarely,Sales,5,3,3,Male,2,Sales Executive,3,Single,5744,1,Yes,6,1,Y,80,142,0,Yes
25,Travel_Rarely,Research & Development,7,1,4,Male,1,Research Scientist,4,Married,2889,1,No,2,1,Y,80,143,2,No
22,Travel_Rarely,Research & Development,15,3,2,Female,1,Laboratory Technician,4,Single,2871,1,No,0,1,Y,80,144,0,No
51,Travel_Frequently,Research & Development,1,4,1,Female,3,Healthcare Representative,1,Single,7484,3,No,13,1,Y,80,145,0,No
34,Travel_Frequently,Research & Development,7,3,1,Male,2,Laboratory Technician,3,Single,6074,1,Yes,9,1,Y,80,147,0,Yes
54,Non-Travel,Human Resources,26,3,4,Female,4,Manager,4,Single,17328,2,Yes,5,1,Y,80,148,0,No
24,Travel_Rarely,Research & Development,18,1,2,Male,1,Laboratory Technician,3,Married,2774,0,No,5,1,Y,80,150,1,No
34,Travel_Rarely,Research & Development,6,4,3,Female,2,Research Scientist,2,Divorced,4505,6,No,1,1,Y,80,151,1,No
37,Travel_Rarely,Sales,3,3,3,Male,3,Sales Executive,4,Single,7428,2,No,5,1,Y,80,152,0,No
34,Travel_Rarely,Research & Development,5,3,3,Female,3,Manager,1,Single,11631,2,No,11,1,Y,80,153,0,No
36,Travel_Frequently,Sales,11,2,2,Female,3,Sales Executive,4,Married,9738,0,No,9,1,Y,80,154,1,No
36,Travel_Rarely,Research & Development,3,2,1,Female,1,Laboratory Technician,4,Divorced,2835,5,No,1,1,Y,80,155,1,No
43,Travel_Frequently,Sales,26,2,3,Male,4,Manager,4,Married,16959,1,Yes,25,1,Y,80,158,2,No
30,Travel_Frequently,Research & Development,23,3,1,Male,1,Research Scientist,3,Divorced,2613,1,No,10,1,Y,80,159,3,No
33,Non-Travel,Sales,22,2,3,Male,2,Sales Executive,2,Married,6146,0,No,7,1,Y,80,160,1,No
56,Travel_Rarely,Research & Development,14,4,2,Female,1,Research Scientist,2,Married,4963,9,Yes,5,1,Y,80,161,3,Yes
51,Travel_Rarely,Research & Development,6,3,1,Male,5,Research Director,3,Single,19537,7,No,20,1,Y,80,162,0,No
31,Travel_Rarely,Sales,6,4,2,Male,2,Sales Executive,3,Married,6172,4,Yes,7,1,Y,80,163,0,Yes
26,Travel_Rarely,Research & Development,6,3,3,Female,1,Research Scientist,2,Married,2368,1,No,5,1,Y,80,164,0,No
58,Travel_Rarely,Research & Development,23,4,4,Female,3,Healthcare Representative,4,Married,10312,1,No,40,1,Y,80,165,1,Yes
19,Travel_Rarely,Sales,22,1,4,Male,1,Sales Representative,3,Single,1675,1,Yes,0,1,Y,80,167,0,Yes
22,Travel_Rarely,Research & Development,2,1,3,Male,1,Laboratory Technician,4,Married,2523,0,No,2,1,Y,80,169,1,No
49,Travel_Rarely,Research & Development,20,4,3,Female,2,Manufacturing Director,1,Married,6567,1,No,15,1,Y,80,170,0,No
43,Travel_Frequently,Research & Development,28,3,2,Female,1,Research Scientist,3,Single,4739,4,No,3,1,Y,80,171,0,No
50,Travel_Frequently,Sales,12,3,3,Female,3,Sales Executive,4,Single,9208,4,No,2,1,Y,80,174,0,No
31,Travel_Rarely,Sales,20,3,2,Female,2,Sales Executive,3,Married,4559,3,Yes,2,1,Y,80,175,1,Yes
41,Travel_Rarely,Sales,9,1,3,Male,3,Sales Executive,3,Divorced,8189,3,Yes,9,1,Y,80,176,1,No
26,Travel_Rarely,Human Resources,25,1,3,Female,1,Human Resources,3,Married,2942,1,No,8,1,Y,80,177,1,No
36,Travel_Rarely,Research & Development,6,2,2,Male,2,Manufacturing Director,2,Divorced,4941,6,No,3,1,Y,80,178,2,No
51,Travel_Frequently,Research & Development,8,4,1,Male,3,Manufacturing Director,4,Single,10650,2,No,4,1,Y,80,179,0,Yes
39,Travel_Rarely,Sales,4,4,4,Female,2,Sales Executive,3,Married,5902,4,No,15,1,Y,80,182,1,No
25,Travel_Rarely,Sales,28,3,1,Male,2,Sales Executive,3,Married,8639,2,No,2,1,Y,80,183,0,No
30,Travel_Rarely,Human Resources,9,3,3,Male,2,Human Resources,4,Married,6347,0,Yes,11,1,Y,80,184,0,No
32,Travel_Rarely,Research & Development,9,3,1,Female,1,Laboratory Technician,1,Single,4200,7,No,5,1,Y,80,190,0,Yes
45,Travel_Rarely,Research & Development,29,3,3,Male,1,Research Scientist,4,Single,3452,5,No,6,1,Y,80,192,0,No
38,Travel_Rarely,Research & Development,3,5,4,Female,2,Research Scientist,3,Single,4317,3,Yes,3,1,Y,80,193,0,No
30,Travel_Rarely,Research & Development,18,3,1,Female,1,Research Scientist,3,Single,2632,1,No,5,1,Y,80,194,0,No
32,Travel_Frequently,Sales,9,2,4,Male,2,Sales Executive,4,Divorced,4668,0,No,8,1,Y,80,195,3,No
30,Travel_Rarely,Research & Development,5,3,4,Female,1,Research Scientist,1,Divorced,3204,5,No,3,1,Y,80,197,1,No
30,Travel_Rarely,Research & Development,2,1,2,Male,1,Laboratory Technician,4,Single,2720,0,No,5,1,Y,80,198,0,No
41,Travel_Frequently,Research & Development,10,3,4,Male,4,Manager,1,Divorced,17181,4,No,7,1,Y,80,199,1,No
41,Travel_Rarely,Research & Development,9,4,3,Male,1,Laboratory Technician,1,Married,2238,2,No,5,1,Y,80,200,1,No
19,Travel_Rarely,Research & Development,3,1,2,Female,1,Laboratory Technician,2,Single,1483,1,No,1,1,Y,80,201,0,No
40,Travel_Frequently,Research & Development,26,3,2,Female,2,Research Scientist,2,Divorced,5605,1,No,20,1,Y,80,202,1,No
35,Travel_Rarely,Sales,1,5,3,Male,3,Sales Executive,2,Married,7295,1,No,10,1,Y,80,204,2,No
53,Travel_Rarely,Sales,6,2,2,Male,2,Sales Representative,3,Married,2306,2,Yes,7,1,Y,80,205,1,No
45,Travel_Rarely,Research & Development,9,3,2,Male,2,Laboratory Technician,2,Divorced,2348,8,No,17,1,Y,80,206,1,No
32,Travel_Frequently,Sales,8,3,2,Female,3,Sales Executive,4,Single,8998,1,No,9,1,Y,80,207,0,No
29,Non-Travel,Research & Development,1,1,4,Male,2,Manufacturing Director,3,Married,4319,1,No,10,1,Y,80,208,1,No
51,Travel_Rarely,Research & Development,7,4,2,Male,2,Manufacturing Director,3,Married,6132,2,No,1,1,Y,80,211,0,No
58,Travel_Rarely,Research & Development,9,3,2,Female,1,Research Scientist,2,Married,3346,4,Yes,1,1,Y,80,214,1,No
40,Travel_Rarely,Sales,4,4,3,Male,3,Sales Executive,4,Married,10855,7,No,12,1,Y,80,215,1,No
34,Travel_Frequently,Sales,2,4,3,Female,1,Sales Representative,3,Married,2231,6,No,4,1,Y,80,216,1,No
22,Travel_Rarely,Research & Development,19,1,3,Male,1,Research Scientist,4,Married,2323,1,No,2,1,Y,80,217,2,No
27,Non-Travel,Research & Development,9,3,4,Male,1,Research Scientist,2,Divorced,2024,6,No,2,1,Y,80,218,1,No
28,Travel_Rarely,Research & Development,21,3,3,Male,1,Research Scientist,4,Married,2713,1,No,5,1,Y,80,221,1,No
57,Travel_Rarely,Research & Development,24,2,3,Male,3,Healthcare Representative,4,Divorced,9439,3,Yes,5,1,Y,80,223,1,No
27,Non-Travel,Research & Development,3,3,3,Male,1,Research Scientist,3,Divorced,2566,1,Yes,1,1,Y,80,224,1,No
50,Travel_Rarely,Research & Development,11,3,3,Female,5,Manager,2,Single,19926,3,No,5,1,Y,80,226,0,No
41,Travel_Rarely,Research & Development,14,3,1,Male,1,Research Scientist,3,Divorced,2451,4,No,9,1,Y,80,227,1,No
30,Travel_Rarely,Sales,5,3,2,Female,3,Sales Executive,4,Married,9419,2,No,10,1,Y,80,228,1,No
38,Travel_Rarely,Sales,1,4,1,Female,2,Sales Executive,4,Single,8686,4,No,8,1,Y,80,230,0,No
32,Travel_Rarely,Research & Development,6,5,3,Male,1,Research Scientist,3,Single,3038,3,No,5,1,Y,80,231,0,No
27,Travel_Rarely,Research & Development,17,3,3,Male,1,Research Scientist,2,Married,3058,0,Yes,5,1,Y,80,233,1,No
19,Travel_Frequently,Sales,1,1,3,Female,1,Sales Representative,1,Single,2325,0,No,0,1,Y,80,235,0,Yes
36,Travel_Frequently,Research & Development,3,2,4,Male,1,Laboratory Technician,2,Single,2088,4,No,8,1,Y,80,238,0,No
30,Non-Travel,Research & Development,9,3,3,Male,2,Laboratory Technician,1,Divorced,3072,1,No,12,1,Y,80,239,2,No
45,Travel_Rarely,Sales,4,2,3,Female,2,Sales Executive,1,Divorced,5006,4,Yes,5,1,Y,80,240,1,No
56,Travel_Rarely,Research & Development,8,3,3,Female,1,Research Scientist,1,Divorced,4257,4,Yes,2,1,Y,80,241,1,No
33,Travel_Rarely,Research & Development,2,3,3,Male,1,Research Scientist,4,Single,2500,0,No,3,1,Y,80,242,0,No
19,Travel_Rarely,Research & Development,2,3,2,Male,1,Laboratory Technician,4,Single,1102,1,No,1,1,Y,80,243,0,Yes
46,Travel_Rarely,Sales,1,2,2,Female,3,Sales Executive,1,Divorced,10453,1,No,24,1,Y,80,244,3,No
38,Travel_Rarely,Research & Development,9,2,3,Female,1,Laboratory Technician,4,Single,2288,1,No,2,1,Y,80,245,0,No
31,Travel_Rarely,Research & Development,12,1,3,Female,1,Research Scientist,4,Married,3929,8,Yes,4,1,Y,80,246,1,No
34,Travel_Rarely,Research & Development,27,2,4,Female,1,Research Scientist,2,Single,2311,2,No,3,1,Y,80,247,0,No
41,Travel_Rarely,Sales,20,2,2,Female,1,Sales Representative,2,Single,3140,1,Yes,4,1,Y,80,248,0,Yes
50,Travel_Rarely,Research & Development,1,3,3,Male,1,Laboratory Technician,3,Married,3690,2,No,3,1,Y,80,249,1,No
53,Travel_Rarely,Research & Development,13,2,4,Female,2,Manufacturing Director,1,Divorced,4450,1,No,4,1,Y,80,250,2,No
33,Travel_Rarely,Research & Development,14,3,4,Female,1,Research Scientist,2,Married,2756,1,No,8,1,Y,80,252,1,No
40,Travel_Rarely,Research & Development,4,1,4,Female,5,Manager,3,Married,19033,1,No,20,1,Y,80,253,1,No
55,Travel_Rarely,Research & Development,14,4,3,Male,5,Research Director,2,Single,18722,8,No,24,1,Y,80,254,0,No
34,Travel_Frequently,Research & Development,2,1,4,Male,2,Manufacturing Director,3,Married,9547,1,No,10,1,Y,80,256,0,No
51,Travel_Rarely,Research & Development,3,3,4,Female,4,Healthcare Representative,2,Single,13734,3,No,7,1,Y,80,258,0,No
52,Travel_Rarely,Research & Development,1,4,3,Male,5,Manager,3,Married,19999,0,No,33,1,Y,80,259,1,No
27,Travel_Rarely,Research & Development,9,3,4,Female,1,Research Scientist,2,Single,2279,1,No,7,1,Y,80,260,0,No
35,Travel_Rarely,Research & Development,23,2,2,Male,2,Manufacturing Director,3,Married,5916,3,Yes,1,1,Y,80,261,0,Yes
43,Non-Travel,Research & Development,7,3,4,Male,1,Research Scientist,4,Divorced,2089,4,No,5,1,Y,80,262,3,No
45,Non-Travel,Research & Development,2,2,1,Male,4,Manager,4,Married,16792,9,No,20,1,Y,80,264,1,No
37,Travel_Rarely,Research & Development,21,3,2,Male,1,Research Scientist,1,Married,3564,1,Yes,8,1,Y,80,267,1,No
35,Travel_Frequently,Research & Development,2,3,2,Female,2,Laboratory Technician,2,Single,4425,5,No,6,1,Y,80,269,0,No
42,Non-Travel,Research & Development,21,2,3,Female,2,Manufacturing Director,3,Divorced,5265,2,No,5,1,Y,80,270,1,No
38,Travel_Rarely,Research & Development,2,4,4,Male,2,Manufacturing Director,3,Married,6553,9,No,1,1,Y,80,271,0,No
38,Travel_Rarely,Research & Development,29,3,4,Male,2,Manufacturing Director,4,Married,6261,3,No,7,1,Y,80,273,1,No
27,Travel_Frequently,Research & Development,1,1,3,Male,2,Manufacturing Director,1,Married,4298,5,No,2,1,Y,80,274,1,No
49,Non-Travel,Research & Development,18,4,4,Male,2,Manufacturing Director,4,Divorced,6804,1,Yes,7,1,Y,80,275,2,No
34,Travel_Frequently,Research & Development,10,4,4,Male,1,Research Scientist,3,Divorced,3815,1,Yes,5,1,Y,80,277,1,No
40,Travel_Rarely,Research & Development,19,2,3,Male,2,Laboratory Technician,4,Married,2741,8,Yes,7,1,Y,80,281,1,No
38,Travel_Rarely,Research & Development,29,1,2,Male,2,Healthcare Representative,1,Married,6673,7,Yes,1,1,Y,80,282,0,Yes
29,Travel_Rarely,Sales,27,3,2,Female,3,Sales Executive,4,Married,7639,1,No,10,1,Y,80,283,3,Yes
22,Travel_Rarely,Research & Development,5,3,4,Male,1,Research Scientist,2,Divorced,2328,1,Yes,4,1,Y,80,284,1,No
36,Travel_Frequently,Research & Development,18,1,2,Female,1,Laboratory Technician,4,Single,2153,1,No,8,1,Y,80,286,0,No
40,Non-Travel,Research & Development,9,5,4,Male,2,Healthcare Representative,4,Married,4876,9,No,3,1,Y,80,287,1,No
46,Travel_Rarely,Research & Development,1,4,4,Male,3,Healthcare Representative,1,Divorced,9396,7,No,4,1,Y,80,288,1,No
32,Travel_Rarely,Sales,4,4,4,Male,3,Sales Executive,4,Married,10400,1,No,14,1,Y,80,291,0,Yes
30,Non-Travel,Research & Development,1,1,3,Male,3,Manufacturing Director,3,Single,8474,1,No,11,1,Y,80,292,0,No
27,Travel_Frequently,Sales,20,3,4,Female,2,Sales Executive,3,Single,9981,1,No,7,1,Y,80,293,0,No
51,Travel_Rarely,Research & Development,8,4,2,Male,3,Research Director,2,Married,12490,5,No,10,1,Y,80,296,2,No
30,Travel_Rarely,Research & Development,3,3,4,Female,1,Research Scientist,1,Single,2657,5,Yes,5,1,Y,80,297,0,Yes
41,Travel_Rarely,Sales,6,3,4,Female,3,Manager,4,Single,13591,3,Yes,1,1,Y,80,298,0,No
30,Travel_Frequently,Sales,26,4,3,Female,2,Sales Executive,1,Single,6696,5,No,6,1,Y,80,299,0,Yes
